name,model,functionality,compatibility
Kidney,CyberKidneyX4,Regulates electrolytes,Type AB
Heart,CyberHeartX1,Pumps blood,Type O
Arm,CyberArmG7,Enhanced strength,Universal
Eye,CyberEyeN2,Enhanced vision,Type A
Leg,CyberLegX9,Enhanced mobility,Type B
Brain,CyberBrainN1,Neural enhancement,Type A
Lung,CyberLungZ3,Filters air,Type B
Skin,CyberSkinD2,Temperature regulation,Universal
Liver,CyberLiverA5,Detoxifies blood,Type O
Ear,CyberEarC3,Enhanced hearing,Type O
Kidney,CyberKidneyX4,Regulates electrolytes,Type AB
Heart,CyberHeartY2,Pumps blood,Type A
Eye,CyberEyeX1,Night vision,Universal
Arm,CyberArmG7,Enhanced strength,Universal
Lung,CyberLungV8,Increased oxygen intake,Type AB
Leg,CyberLegX9,Enhanced mobility,Type B
Brain,CyberBrainN1,Neural enhancement,Type A
Skin,CyberSkinD2,Temperature regulation,Universal
Liver,CyberLiverQ4,Regulates enzymes,Type B
Ear,CyberEarC3,Enhanced hearing,Type O
Kidney,CyberKidneyY5,Toxin filtration,Type O
Heart,CyberHeartY2,Pumps blood,Type A
Arm,CyberArmP2,Precision grip,Type A
Eye,CyberEyeX1,Night vision,Universal
Leg,CyberLegM6,Speed enhancement,Type O
Lung,CyberLungV8,Increased oxygen intake,Type AB
Brain,CyberBrainZ2,Memory boost,Type AB
Skin,CyberSkinF4,Shock absorption,Type B
Ear,CyberEarX5,Directional hearing,Type AB
Liver,CyberLiverQ4,Regulates enzymes,Type B
Heart,CyberHeartX1,Pumps blood,Type O
Kidney,CyberKidneyY5,Toxin filtration,Type O
Arm,CyberArmP2,Precision grip,Type A
Leg,CyberLegM6,Speed enhancement,Type O
Eye,CyberEyeV2,Enhanced vision,Type A
Brain,CyberBrainZ2,Memory boost,Type AB
Lung,CyberLungZ3,Filters air,Type B
Skin,CyberSkinF4,Shock absorption,Type B
Liver,CyberLiverA5,Detoxifies blood,Type O
Kidney,CyberKidneyX4,Regulates electrolytes,Type AB
Ear,CyberEarX5,Directional hearing,Type AB
Arm,CyberArmG7,Enhanced strength,Universal
Leg,CyberLegX9,Enhanced mobility,Type B
Heart,CyberHeartX1,Pumps blood,Type O
Eye,CyberEyeV2,Enhanced vision,Type A
Brain,CyberBrainN1,Neural enhancement,Type A
Lung,CyberLungZ3,Filters air,Type B
Skin,CyberSkinD2,Temperature regulation,Universal
Liver,CyberLiverA5,Detoxifies blood,Type O
Ear,CyberEarC3,Enhanced hearing,Type O
Kidney,CyberKidneyX4,Regulates electrolytes,Type AB
Heart,CyberHeartY2,Pumps blood,Type A
Arm,CyberArmG7,Enhanced strength,Universal
Leg,CyberLegX9,Enhanced mobility,Type B
Eye,CyberEyeX1,Night vision,Universal
Lung,CyberLungV8,Increased oxygen intake,Type AB
Brain,CyberBrainN1,Neural enhancement,Type A
Liver,CyberLiverQ4,Regulates enzymes,Type B
Skin,CyberSkinD2,Temperature regulation,Universal
Kidney,CyberKidneyY5,Toxin filtration,Type O
Ear,CyberEarC3,Enhanced hearing,Type O
Heart,CyberHeartY2,Pumps blood,Type A
Arm,CyberArmP2,Precision grip,Type A
Eye,CyberEyeX1,Night vision,Universal
Leg,CyberLegM6,Speed enhancement,Type O
Brain,CyberBrainZ2,Memory boost,Type AB
Lung,CyberLungV8,Increased oxygen intake,Type AB
Skin,CyberSkinF4,Shock absorption,Type B
Ear,CyberEarX5,Directional hearing,Type AB
Liver,CyberLiverQ4,Regulates enzymes,Type B
Kidney,CyberKidneyY5,Toxin filtration,Type O
Arm,CyberArmP2,Precision grip,Type A
Leg,CyberLegM6,Speed enhancement,Type O
Brain,CyberBrainZ2,Memory boost,Type AB
Skin,CyberSkinF4,Shock absorption,Type B
Ear,CyberEarX5,Directional hearing,Type AB